rank,company,symbol,ytd_return
242,JOHNSON + JOHNSON,JNJ,2.58%
243,T ROWE PRICE GROUP INC,TROW,2.57%
244,CAPITAL ONE FINANCIAL CORP,COF,2.57%
245,NORDSON CORP,NDSN,2.54%
246,DIGITAL REALTY TRUST INC,DLR,2.51%
247,MOLSON COORS BEVERAGE CO   B,TAP,2.50%
248,DOW INC,DOW,2.24%
249,T MOBILE US INC,TMUS,2.23%
250,GARTNER INC,IT,2.19%
251,CONSTELLATION BRANDS INC A,STZ,2.10%
252,DOLLAR GENERAL CORP,DG,2.09%
253,NRG ENERGY INC,NRG,2.07%
254,WELLTOWER INC,WELL,1.87%
255,PRINCIPAL FINANCIAL GROUP,PFG,1.83%
256,VERISK ANALYTICS INC,VRSK,1.78%
257,ZEBRA TECHNOLOGIES CORP CL A,ZBRA,1.73%
258,EPAM SYSTEMS INC,EPAM,1.71%
259,JOHNSON CONTROLS INTERNATION,JCI,1.63%
260,TE CONNECTIVITY LTD,TEL,1.63%
261,COTERRA ENERGY INC,CTRA,1.57%
262,MEDTRONIC PLC,MDT,1.57%
263,ALLEGION PLC,ALLE,1.42%
264,OCCIDENTAL PETROLEUM CORP,OXY,1.27%
265,MONDELEZ INTERNATIONAL INC A,MDLZ,1.19%
266,CF INDUSTRIES HOLDINGS INC,CF,1.18%
267,HERSHEY CO/THE,HSY,1.16%
268,GOLDMAN SACHS GROUP INC,GS,1.15%
269,KELLANOVA,K,0.95%
270,ALTRIA GROUP INC,MO,0.92%
271,QORVO INC,QRVO,0.81%
272,TYSON FOODS INC CL A,TSN,0.69%
273,EBAY INC,EBAY,0.60%
274,L3HARRIS TECHNOLOGIES INC,LHX,0.53%
275,ROPER TECHNOLOGIES INC,ROP,0.50%
276,HUNTINGTON BANCSHARES INC,HBAN,0.47%
277,MSCI INC,MSCI,0.40%
278,MATCH GROUP INC,MTCH,0.33%
279,MCDONALD S CORP,MCD,0.21%
280,MARATHON OIL CORP,MRO,-0.04%
281,COOPER COS INC/THE,COO,-0.12%
